,NO_REGIAO,UF_NOME,DEPENDENCIA_NOME,LOCALIZACAO_NOME,IN_AGUA_POTAVEL,IN_ENERGIA_INEXISTENTE,IN_BIBLIOTECA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_COMPUTADOR,IN_EQUIP_IMPRESSORA,IN_EQUIP_TV,QT_EQUIP_TV,IN_EQUIP_LOUSA_DIGITAL,QT_EQUIP_LOUSA_DIGITAL,IN_EQUIP_MULTIMIDIA,QT_EQUIP_MULTIMIDIA,IN_DESKTOP_ALUNO,QT_DESKTOP_ALUNO,IN_COMP_PORTATIL_ALUNO,QT_COMP_PORTATIL_ALUNO,IN_INTERNET,IN_INTERNET_ALUNOS,IN_MATERIAL_PED_MULTIMIDIA
143,Norte,RR,Municipal,Rural,0.5659722222222222,0.22916666666666666,0.0798611111111111,0.006944444444444444,0.017361111111111112,0.2777777777777778,0.2465277777777778,0.2048611111111111,0.0,0.03819444444444445,0.0,0.08680555555555555,0.0,0.09027777777777778,0.0,0.027777777777777776,0.0,0.4548611111111111,0.0798611111111111,0.024305555555555556
144,Norte,RR,Municipal,Urbana,0.9827586206896551,0.0,0.14367816091954022,0.14367816091954022,0.05172413793103448,0.9597701149425287,0.8103448275862069,0.8448275862068966,1.0,0.4482758620689655,0.0,0.6724137931034483,1.0,0.1781609195402299,0.0,0.2413793103448276,0.0,0.9310344827586207,0.20689655172413793,0.23563218390804597
145,Norte,RR,Privada,Rural,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
146,Norte,RR,Privada,Urbana,1.0,0.0,0.6521739130434783,0.30434782608695654,0.3695652173913043,0.9782608695652174,0.9130434782608695,0.8478260869565217,2.0,0.2391304347826087,0.0,0.782608695652174,1.0,0.6304347826086957,2.0,0.43478260869565216,0.0,1.0,0.4782608695652174,0.5434782608695652
147,Norte,TO,Estadual,Rural,0.6095890410958904,0.02054794520547945,0.22602739726027396,0.03424657534246575,0.10273972602739725,0.7328767123287672,0.3767123287671233,0.363013698630137,0.0,0.02054794520547945,0.0,0.4726027397260274,0.0,0.4315068493150685,0.0,0.15753424657534246,0.0,0.6712328767123288,0.3013698630136986,0.17123287671232876
148,Norte,TO,Estadual,Urbana,0.9971590909090909,0.0,0.8863636363636364,0.13636363636363635,0.3522727272727273,0.9971590909090909,0.6420454545454546,0.6392045454545454,1.0,0.29829545454545453,0.0,0.9545454545454546,2.0,0.6221590909090909,1.5,0.3693181818181818,0.0,1.0,0.8096590909090909,0.4318181818181818
149,Norte,TO,Federal,Rural,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.5,0.5,1.0,44444.5,1.0,171.0,0.0,0.0,1.0,1.0,1.0
150,Norte,TO,Federal,Urbana,1.0,0.0,1.0,0.8888888888888888,1.0,1.0,0.6666666666666666,1.0,4.0,0.0,0.0,1.0,88888.0,1.0,100.0,0.4444444444444444,0.0,1.0,1.0,0.6666666666666666
151,Norte,TO,Municipal,Rural,0.9074626865671642,0.020895522388059702,0.11641791044776119,0.0,0.04477611940298507,0.7432835820895523,0.48955223880597015,0.5194029850746269,1.0,0.03283582089552239,0.0,0.48059701492537316,0.0,0.20298507462686566,0.0,0.16417910447761194,0.0,0.8925373134328358,0.2537313432835821,0.0955223880597015
152,Norte,TO,Municipal,Urbana,0.9982608695652174,0.0,0.2956521739130435,0.01391304347826087,0.1791304347826087,0.9878260869565217,0.64,0.8365217391304348,2.0,0.09739130434782609,0.0,0.831304347826087,1.0,0.3373913043478261,0.0,0.2921739130434783,0.0,1.0,0.3582608695652174,0.32869565217391306
153,Norte,TO,Privada,Rural,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,1.0,1.0,0.6666666666666666,8.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.6666666666666666
154,Norte,TO,Privada,Urbana,0.9938650306748467,0.0,0.558282208588957,0.2147239263803681,0.26380368098159507,0.9570552147239264,0.6993865030674846,0.8159509202453987,1.0,0.1411042944785276,0.0,0.8159509202453987,1.0,0.5214723926380368,1.0,0.49079754601226994,0.0,1.0,0.5828220858895705,0.4294478527607362
155,Sudeste,ES,Estadual,Rural,1.0,0.05063291139240506,0.3291139240506329,0.13924050632911392,0.21518987341772153,0.8227848101265823,0.21518987341772153,0.8481012658227848,1.0,0.08860759493670886,0.0,0.7721518987341772,1.0,0.4177215189873418,0.0,0.3670886075949367,0.0,0.7088607594936709,0.43037974683544306,0.21518987341772153
156,Sudeste,ES,Estadual,Urbana,1.0,0.0,0.8966565349544073,0.6413373860182371,0.60790273556231,1.0,0.3951367781155015,0.9604863221884499,7.0,0.3009118541033435,0.0,0.9878419452887538,8.0,0.5835866261398176,4.0,0.8601823708206687,40.0,1.0,0.9057750759878419,0.6261398176291794
157,Sudeste,ES,Federal,Rural,1.0,0.0,1.0,0.8,1.0,1.0,1.0,0.6,2.0,0.8,4.0,1.0,20.0,1.0,94.0,0.4,0.0,1.0,1.0,1.0
158,Sudeste,ES,Federal,Urbana,1.0,0.0,1.0,0.9444444444444444,0.9444444444444444,1.0,0.8888888888888888,0.9444444444444444,2.0,0.7222222222222222,3.5,1.0,88888.0,1.0,88.5,0.6111111111111112,3.0,1.0,1.0,0.9444444444444444
159,Sudeste,ES,Municipal,Rural,0.9936948297604036,0.0,0.13240857503152584,0.011349306431273645,0.1223203026481715,0.7604035308953342,0.37326607818411095,0.7528373266078184,1.0,0.06935687263556116,0.0,0.4817150063051702,0.0,0.3354350567465322,0.0,0.22194199243379573,0.0,0.8411097099621689,0.27490542244640603,0.22950819672131148
160,Sudeste,ES,Municipal,Urbana,0.9979166666666667,0.0,0.33125,0.09166666666666666,0.30625,0.9902777777777778,0.7541666666666667,0.9375,2.0,0.1375,0.0,0.8527777777777777,1.0,0.42777777777777776,0.0,0.5020833333333333,1.0,0.9944444444444445,0.36736111111111114,0.3770833333333333
161,Sudeste,ES,Privada,Rural,1.0,0.0,0.9,0.8,0.85,1.0,0.7,0.95,1.0,0.05,0.0,0.9,2.0,0.95,12.5,0.75,1.0,1.0,0.9,0.9
