,UF_NOME,DEPENDENCIA_NOME,URB_NOME,LOCALIZACAO_NOME,IN_PREENCHIMENTO_LP,IN_PREENCHIMENTO_MT,PROFICIENCIA_MT,PROFICIENCIA_LP
134,RR,Privada,Interior,Urbana,1.0,1.0,0.1578465,-0.16615149999999998
135,RR,Publica,Capital,Rural,1.0,1.0,-0.427072,-0.347389
136,RR,Publica,Capital,Urbana,1.0,1.0,-0.1578205,-0.2861685
137,RR,Publica,Interior,Rural,1.0,1.0,-0.340868,-0.559543
138,RR,Publica,Interior,Urbana,1.0,1.0,-0.156849,-0.488167
139,RS,Privada,Capital,Urbana,1.0,1.0,0.846009,0.843628
140,RS,Privada,Interior,Rural,1.0,1.0,0.844698,0.299531
141,RS,Privada,Interior,Urbana,1.0,1.0,0.382197,0.49386850000000004
142,RS,Publica,Capital,Urbana,1.0,1.0,-0.354624,-0.139643
143,RS,Publica,Interior,Rural,1.0,1.0,-0.042187,-0.00027
144,RS,Publica,Interior,Urbana,1.0,1.0,0.309143,0.231313
145,SC,Privada,Capital,Urbana,1.0,1.0,0.8085035,0.7684305
146,SC,Privada,Interior,Rural,1.0,1.0,0.8253025,0.6955344999999999
147,SC,Privada,Interior,Urbana,1.0,1.0,0.592912,0.742239
148,SC,Publica,Capital,Rural,1.0,1.0,-0.114317,0.05765
149,SC,Publica,Capital,Urbana,1.0,1.0,-0.16631400000000002,-0.2338885
150,SC,Publica,Interior,Rural,1.0,1.0,0.191767,0.27059900000000003
151,SC,Publica,Interior,Urbana,1.0,1.0,0.436053,0.138074
152,SE,Privada,Capital,Urbana,1.0,1.0,0.51554,0.409868
153,SE,Privada,Interior,Rural,1.0,1.0,0.138791,0.414313
154,SE,Privada,Interior,Urbana,1.0,1.0,0.197142,0.242435
155,SE,Publica,Capital,Urbana,1.0,1.0,-0.5785945,-0.6623330000000001
156,SE,Publica,Interior,Rural,1.0,1.0,-0.23798399999999997,-0.2939745
157,SE,Publica,Interior,Urbana,1.0,1.0,-0.2472565,-0.34805549999999996
158,SP,Privada,Capital,Rural,1.0,1.0,1.254602,0.823513
159,SP,Privada,Capital,Urbana,1.0,1.0,0.0838955,0.30809050000000004
160,SP,Privada,Interior,Rural,1.0,1.0,0.396698,0.49747450000000004
161,SP,Privada,Interior,Urbana,1.0,1.0,0.403933,0.822684
162,SP,Publica,Capital,Urbana,1.0,1.0,0.27271449999999997,0.015825
163,SP,Publica,Interior,Rural,1.0,1.0,0.105033,0.012462
164,SP,Publica,Interior,Urbana,1.0,1.0,0.180138,0.0434925
165,TO,Privada,Capital,Urbana,1.0,1.0,0.276471,0.402061
166,TO,Privada,Interior,Rural,1.0,1.0,0.107576,0.108205
167,TO,Privada,Interior,Urbana,1.0,1.0,0.123168,0.0447545
168,TO,Publica,Capital,Rural,1.0,1.0,0.313322,-0.374364
169,TO,Publica,Capital,Urbana,1.0,1.0,-0.181096,-0.40906
170,TO,Publica,Interior,Rural,1.0,1.0,-0.24222749999999998,-0.3622205
171,TO,Publica,Interior,Urbana,1.0,1.0,-0.13770149999999998,-0.3924065
