,UF_NOME,DEPENDENCIA_NOME,LOCALIZACAO_NOME,IN_AGUA_POTAVEL,IN_ENERGIA_INEXISTENTE,IN_BIBLIOTECA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_COMPUTADOR,IN_EQUIP_IMPRESSORA,IN_EQUIP_TV,QT_EQUIP_TV,IN_EQUIP_LOUSA_DIGITAL,QT_EQUIP_LOUSA_DIGITAL,IN_EQUIP_MULTIMIDIA,QT_EQUIP_MULTIMIDIA,IN_DESKTOP_ALUNO,QT_DESKTOP_ALUNO,IN_COMP_PORTATIL_ALUNO,QT_COMP_PORTATIL_ALUNO,IN_INTERNET,IN_INTERNET_ALUNOS,IN_MATERIAL_PED_MULTIMIDIA,IN_PREENCHIMENTO_LP,IN_PREENCHIMENTO_MT,PROFICIENCIA_MT,PROFICIENCIA_LP,_merge
20,CE,Publica,Rural,0.9713033080908728,0.0,0.18852132323634915,0.03228377839776803,0.17058589079314468,0.8589079314467916,0.5862893583100837,0.7293742526903149,1.0,0.08051016341171782,0.0,0.7385412514946194,1.0,0.3854125149461937,0.0,0.49461937026703867,0.0,0.9513750498206457,0.32004782781984853,0.2981267437225986,1.0,1.0,0.7050645,0.304027,both
21,CE,Publica,Urbana,0.9626277372262774,0.0,0.46802919708029195,0.2116788321167883,0.4286131386861314,0.9605839416058394,0.6802919708029197,0.8394160583941606,1.0,0.22715328467153284,0.0,0.8484671532846715,2.0,0.5430656934306569,1.0,0.5109489051094891,1.0,0.9874452554744526,0.47124087591240876,0.4753284671532847,1.0,1.0,0.660338,0.339158,both
22,DF,Privada,Urbana,1.0,0.0,0.4653130287648054,0.38917089678510997,0.39593908629441626,0.9712351945854484,0.8747884940778342,0.8663282571912013,2.0,0.1658206429780034,0.0,0.7478849407783418,1.0,0.5752961082910322,2.0,0.48223350253807107,0.0,0.9983079526226735,0.48392554991539766,0.4619289340101523,1.0,1.0,0.4104145,0.4178275,both
23,DF,Publica,Rural,1.0,0.0,0.2073170731707317,0.07317073170731707,0.32926829268292684,0.9512195121951219,0.9146341463414634,1.0,5.0,0.15853658536585366,0.0,0.9512195121951219,1.0,0.5121951219512195,1.0,0.2926829268292683,0.0,1.0,0.2926829268292683,0.2926829268292683,1.0,1.0,0.082869,0.020142,both
24,DF,Publica,Urbana,1.0,0.0,0.27821939586645467,0.17170111287758347,0.5627980922098569,0.9920508744038156,0.9682034976152624,0.9507154213036566,4.0,0.302066772655008,0.0,0.9761526232114467,2.0,0.6613672496025437,8.0,0.3688394276629571,0.0,0.9888712241653418,0.4117647058823529,0.43084260731319557,1.0,1.0,-0.041085,-0.054406,both
25,ES,Privada,Urbana,0.9949238578680203,0.0,0.7385786802030457,0.5253807106598984,0.6395939086294417,0.9923857868020305,0.8730964467005076,0.8959390862944162,2.0,0.1751269035532995,0.0,0.9010152284263959,2.0,0.7842639593908629,10.0,0.5862944162436549,1.0,1.0,0.7436548223350253,0.6142131979695431,1.0,1.0,0.73985,0.6447935,both
26,ES,Publica,Rural,0.9942987457240593,0.004561003420752566,0.15507411630558723,0.027366020524515394,0.13568985176738882,0.7673888255416191,0.36259977194982895,0.7605473204104903,1.0,0.07525655644241733,0.0,0.5108323831242874,1.0,0.346636259977195,0.0,0.23603192702394526,0.0,0.830102622576967,0.29304446978335236,0.23261117445838084,1.0,1.0,0.4538765,0.13993699999999998,both
27,ES,Publica,Urbana,0.9983212087297146,0.0,0.4420817011751539,0.20145495243424735,0.36821488528259655,0.9921656407386682,0.6894236149972021,0.9418019026301063,2.0,0.17347509792949076,0.0,0.8791270285394516,1.0,0.4622271964185786,0.0,0.5691102406267488,1.0,0.9955232232792389,0.47285954113038614,0.4286513710128707,1.0,1.0,0.4099185,0.155688,both
28,GO,Privada,Rural,1.0,0.0,1.0,0.18181818181818182,0.6363636363636364,1.0,0.9090909090909091,1.0,2.0,0.0,0.0,1.0,1.0,0.9090909090909091,6.0,0.36363636363636365,0.0,1.0,1.0,0.9090909090909091,1.0,1.0,0.7566335,0.346757,both
29,GO,Privada,Urbana,0.999124343257443,0.0,0.7933450087565674,0.23992994746059546,0.38704028021015763,0.968476357267951,0.9203152364273205,0.9098073555166375,2.0,0.1234676007005254,0.0,0.808231173380035,1.0,0.670753064798599,2.0,0.5367775831873906,1.0,0.9964973730297724,0.4973730297723292,0.5595446584938704,1.0,1.0,0.550999,0.466066,both
