ID_REGIAO;ID_UF;ID_AREA;IN_PUBLICA;ID_LOCALIZACAO;IN_PREENCHIMENTO_LP;IN_PREENCHIMENTO_MT;PROFICIENCIA_MT;PROFICIENCIA_LP
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;1;1;1.610765;0.335942
4;41;2;0;1;1;1;-0.377743;-0.155247
4;41;2;0;1;1;1;1.047107;1.549002
4;41;2;0;1;1;1;0.803497;1.041064
4;41;2;0;1;1;1;1.610765;0.881471
4;41;2;0;1;1;1;1.00003;-0.265683
4;41;2;0;1;1;1;1.23414;0.222949
4;41;2;0;1;1;1;1.341649;0.866217
4;41;2;0;1;1;1;1.658842;1.870384
4;41;2;0;1;1;1;1.658842;0.769849
4;41;2;0;1;1;1;1.341649;0.307424
4;41;2;0;1;0;0;;
4;41;2;0;1;0;0;;
4;41;2;0;1;1;1;1.111203;1.870384
4;41;2;0;1;1;1;0.793249;0.866503
4;41;2;1;1;1;1;0.074162;-0.224408
4;41;2;1;1;1;1;-0.311737;-0.914338
4;41;2;1;1;1;1;0.108136;-1.331883
4;41;2;1;1;1;1;-0.108789;-0.918195
4;41;2;1;1;1;1;-0.177072;-0.514952
4;41;2;1;1;1;1;-0.874155;-1.92976
4;41;2;1;1;1;1;-1.323829;-0.336471
4;41;2;1;1;1;1;0.142475;-1.541243
4;41;2;1;1;1;1;-0.338943;0.410611
4;41;2;1;1;1;1;-0.298795;0.046042
4;41;2;1;1;1;1;-0.547205;-0.000165
4;41;2;1;1;1;1;0.341556;0.007221
4;41;2;1;1;1;1;-1.398169;0.075673
4;41;2;1;1;1;1;-0.05408;0.255744
4;41;2;1;1;1;1;0.132704;-0.945607
4;41;2;1;1;1;1;0.803532;0.0476
4;41;2;1;1;1;1;-0.330829;-0.01089
4;41;2;1;1;1;1;0.716499;-1.536147
4;41;2;1;1;1;1;0.344883;-0.476604
4;41;2;1;1;1;1;-1.01575;-0.216316
4;41;2;1;1;1;1;0.360377;0.212183
4;41;2;1;1;1;1;0.086783;0.229364
4;41;2;1;1;1;1;-0.262624;-0.081919
4;41;2;1;1;1;1;0.081189;0.580014
4;41;2;1;1;1;1;0.345663;0.519219
4;41;2;1;1;1;0;;-0.829469
4;41;2;1;1;1;1;1.026457;0.173393
4;41;2;1;1;1;1;0.377827;-0.043259
4;41;2;1;1;1;1;2.021137;1.746931
4;41;2;1;1;1;1;-0.821527;-0.941204
